Date,Open,High,Low,Close,Adj Close,Volume,Symbol,actualizacion
2013-11-01,1.043,1.0452,1.04109,1.0429,1.0429,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-04,1.0415,1.04273,1.0395,1.04161,1.04161,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-05,1.04207,1.04515,1.04156,1.04197,1.04197,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-06,1.04509,1.04585,1.04109,1.045,1.045,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-07,1.04193,1.0448,1.0401,1.0419200000000002,1.0419200000000002,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-08,1.0453,1.04996,1.0445,1.04524,1.04524,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-11,1.0484,1.0484,1.0463,1.04847,1.04847,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-12,1.04686,1.05077,1.0463,1.04692,1.04692,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-13,1.04924,1.0495,1.0477,1.04909,1.04909,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-14,1.0448,1.05233,1.044,1.0446799999999998,1.0446799999999998,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-15,1.04684,1.04835,1.0452,1.04681,1.04681,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-18,1.0438,1.04408,1.0412,1.04382,1.04382,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-19,1.04315,1.04483,1.04161,1.04328,1.04328,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-20,1.04548,1.04733,1.0437,1.04545,1.04545,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-21,1.0457,1.0515,1.0454,1.0454,1.0454,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-22,1.05188,1.05658,1.0515,1.05178,1.05178,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-25,1.05466,1.0582,1.0538,1.0545,1.0545,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-26,1.05243,1.05566,1.05208,1.05295,1.05295,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-27,1.05415,1.06004,1.0528,1.05423,1.05423,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-28,1.0590700000000002,1.05964,1.0566,1.05913,1.05913,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-11-29,1.0587,1.0599,1.0559,1.0585,1.0585,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-02,1.0622,1.06524,1.0609,1.06219,1.06219,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-03,1.0643,1.06712,1.063,1.0642,1.0642,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-04,1.0639299999999998,1.0695,1.0637,1.0639,1.0639,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-05,1.06774,1.06953,1.06475,1.06765,1.06765,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-06,1.0646799999999998,1.07014,1.06211,1.0647,1.0647,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-09,1.0653700000000002,1.0667799999999998,1.0641,1.06542,1.06542,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-10,1.0636,1.06439,1.06096,1.06353,1.06353,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-11,1.0605,1.06187,1.0583,1.06048,1.06048,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-12,1.05906,1.06509,1.0558,1.0591700000000002,1.0591700000000002,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-13,1.0644,1.06666,1.061,1.06419,1.06419,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-16,1.0589,1.05926,1.0571,1.05881,1.05881,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-17,1.0591,1.0615,1.0571,1.0593,1.0593,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-18,1.0602,1.06696,1.06,1.06016,1.06016,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-19,1.0717,1.07263,1.0682,1.07147,1.07147,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-20,1.06723,1.07345,1.0659999999999998,1.06711,1.06711,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-23,1.0642200000000002,1.06511,1.05806,1.06421,1.06421,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-24,1.06154,1.06325,1.0604,1.06152,1.06152,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-25,1.06306,1.0632,1.0568,1.06306,1.06306,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-26,1.06386,1.0643,1.0613,1.06347,1.06347,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-27,1.0651,1.07009,1.0617,1.0648,1.0648,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-30,1.0706,1.0727,1.0661,1.0707,1.0707,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2013-12-31,1.0643,1.06556,1.06178,1.0645,1.0645,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-01,1.0619299999999998,1.0622,1.0615,1.0619299999999998,1.0619299999999998,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-02,1.0645,1.0661,1.0590000000000002,1.06445,1.06445,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-03,1.06691,1.06714,1.06027,1.06691,1.06691,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-06,1.06306,1.06785,1.0611,1.06305,1.06305,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-07,1.0659999999999998,1.07611,1.0658,1.06609,1.06609,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-08,1.07736,1.0827,1.0772700000000002,1.0773,1.0773,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-09,1.08228,1.08656,1.0819,1.08223,1.08223,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-10,1.08457,1.09433,1.0837,1.08448,1.08448,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-13,1.09044,1.0927,1.0859999999999999,1.09041,1.09041,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-14,1.08814,1.0938,1.0878,1.0882,1.0882,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-15,1.0948,1.099,1.093,1.09472,1.09472,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-16,1.0946,1.09617,1.0905200000000002,1.09482,1.09482,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-17,1.09324,1.09808,1.0924,1.0932,1.0932,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-20,1.09656,1.09689,1.0929,1.0965,1.0965,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-21,1.0953700000000002,1.10185,1.09459,1.09524,1.09524,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-22,1.0971,1.10639,1.09526,1.0968,1.0968,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-23,1.1102,1.1172,1.1097,1.1102,1.1102,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-24,1.11123,1.11363,1.1055,1.11129,1.11129,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-27,1.1061,1.10703,1.1031,1.1062,1.1062,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-28,1.1115,1.11693,1.1076,1.11146,1.11146,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-29,1.11444,1.11846,1.1104,1.1146,1.1146,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-30,1.11824,1.11973,1.11514,1.1181,1.1181,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-01-31,1.11573,1.1222,1.115,1.11559,1.11559,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-03,1.1123,1.11319,1.10408,1.1122299999999998,1.1122299999999998,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-04,1.1109,1.11224,1.1059,1.1107,1.1107,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-05,1.10838,1.11205,1.1037,1.1083,1.1083,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-06,1.10783,1.11212,1.105,1.10775,1.10775,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-07,1.1069,1.10773,1.0967,1.10689,1.10689,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-10,1.1038,1.10584,1.1014,1.10369,1.10369,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-11,1.1056,1.10897,1.1031,1.1056,1.1056,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-12,1.1011,1.10244,1.0973,1.10084,1.10084,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-13,1.0996,1.10249,1.0974,1.09939,1.09939,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-14,1.09773,1.09831,1.0939,1.09773,1.09773,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-17,1.09722,1.0981,1.0948,1.0973,1.0973,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-18,1.0956,1.0975,1.09454,1.0956,1.0956,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-19,1.09516,1.10525,1.09095,1.09514,1.09514,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-20,1.10724,1.1092,1.1057,1.107,1.107,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-21,1.1102,1.11842,1.1102,1.11037,1.11037,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-24,1.1112,1.114,1.1067,1.1112,1.1112,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-25,1.1059,1.10951,1.1052,1.10588,1.10588,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-26,1.10843,1.1112,1.107,1.10839,1.10839,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-27,1.1136,1.1158,1.1125,1.1136,1.1136,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-02-28,1.1121,1.1142,1.10619,1.1123,1.1123,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-03-03,1.10618,1.11091,1.1038,1.10624,1.10624,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-03-04,1.10792,1.11043,1.1058,1.10796,1.10796,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-03-05,1.1087,1.10948,1.10387,1.1088,1.1088,0.0,USDCAD=X,2020-10-18 20:38:42.780037
2014-03-06,1.10291,1.10456,1.0954700000000002,1.10282,1.10282,0.0,USDCAD=X,2020-10-18 20:38:42.780037
